code,name,address,route_id,status,payment_terms,default_discount,owner_name,phone,email
OUT0050,"Aradana Stores, Nindana",Nindana,3,active,cash,20.0,,,
OUT0051,"Aradhana Stores, Kalahe",kalahe,1,active,cash,20.0,,,
OUT0052,"Araliaya Stores,",,2,active,cash,20.0,,,
OUT0053,"Ariyadasa Super, Ahangama",Ahangama,1,active,cash,20.0,,,
OUT0054,"Aruna Pharmacy, Mathara",Mathara,1,active,cash,20.0,,,
OUT0055,"Aruna Stores, Mapalagama",Mapalagama,3,active,cash,20.0,,,
OUT0056,"Arvee Grocery, Batapola",Batapola,2,active,cash,20.0,,,
OUT0057,"Aryuveda Hospital,Embilipitiya",embilipitiya,1,active,cash,20.0,,,
OUT0058,"Aryuweda Center, Akuressa",Akuressa,1,active,cash,20.0,,,
OUT0059,"Aryuweda Center, Ambalanthota",Ambalanthota,1,active,cash,20.0,,,
OUT0060,"Aryuweda Center, Morawaka",Morawaka,1,active,cash,20.0,,,
OUT0061,"Aryuweda Osuhala, Kamburupitiya",Kamburupitiya,1,active,cash,20.0,,,
OUT0062,"Asanka Stores, Moraduwa",Moraduwa,2,active,cash,20.0,,,
OUT0063,"Ashan Stores, Abekubura",Abekubura,2,active,cash,20.0,,,
OUT0064,"Ashan Stores, Ampegama",Ampegama,2,active,cash,20.0,,,
OUT0065,"Ashan Stores, Hirigalkatiya",Hirigalkatiya,5,active,cash,20.0,,,
OUT0066,"Ashan Stores, Madakeebiya",Madakeebiya,3,active,cash,20.0,,,
OUT0067,"Ashoka Foods, Aluthwala",Aluthwala,6,active,cash,20.0,,,
OUT0068,"Ashoka Grocery ,Wakwella",Wakwella,2,active,cash,20.0,,,
OUT0069,"Ashoka Stores,Nalagasdeniya",Nalagasdeniya,3,active,cash,20.0,,,
OUT0070,"Asiri Cake Shop,Poddala",Poddala,4,active,cash,20.0,,,
OUT0071,"Asiri Cake, Morawaka,",Morawaka,1,active,cash,20.0,,,
OUT0072,"Asiri Stores, Mapalagama",Mapalagama,3,active,cash,20.0,,,
OUT0073,"Asiri Stores, Nawadagala",Nawadagala,3,active,cash,20.0,,,
OUT0074,"Asiri Super, Walasgala",Walasgala,1,active,cash,20.0,,,
OUT0075,"Asitha Stores, Hiniduma",hiniduma,3,active,cash,20.0,,,
OUT0076,"Asitha Stores, Thawalama",Thawalama,1,active,cash,20.0,,,
OUT0077,"Asoka Stores, Nalagasdeniya",Nalagasdeniya,2,active,cash,20.0,,,
OUT0078,"Athapattu Stores, Happitiya",Happitiya,1,active,cash,20.0,,,
OUT0079,"Athukorala Food City, Weliwa, Morawaka","Akuressa Rd, Weliwa Morawaka",1,active,cash,20.0,,,
OUT0080,"Athula Grocery, Karapitiya",Karapitiya,4,active,cash,20.0,,,
OUT0081,"Ayantha Grocery, Hammaliya",Hammaliya,2,active,cash,20.0,,,
OUT0082,"Ayesha Hotel, Karapitiya",Karapitiya,4,active,cash,20.0,,,
OUT0083,"B & B Stores, Mitiyagoda",Mitiyagoda,2,active,cash,20.0,,,
OUT0084,"B. &.L. Stores, Ginthota","Kalegana Rd, Ginthota",5,active,cash,20.0,,,
OUT0085,"B. G. S. Stores, Amugoda",Amugoda,5,active,cash,20.0,,,
OUT0086,"B. N. Stores, Ginthota",Ginthota,2,active,cash,20.0,,,
OUT0087,"B. T. C. Super, Maitipe",Maitipe,4,active,cash,20.0,,,
OUT0088,"B.M.A.Super Center, Kuruduwatta",Kuruduwatta,4,active,cash,20.0,,,
OUT0089,"B.S.M. Grocery, Akmeemana",Akmeemana,4,active,cash,20.0,,,
OUT0090,"Babarawana Grocery, Uluvitike",Uluvitike,4,active,cash,20.0,,,
OUT0091,"Badi Stores, Kahaduwa Watta",,5,active,cash,20.0,,,
OUT0092,"Bagya Stores, Karandeniya",Karandeniya,2,active,cash,20.0,,,
OUT0093,"Bajatmart Stores, Rakadahena",Rakadahena,6,active,cash,20.0,,,
OUT0094,"Bake Cabin,Hakmana",Hakmana,1,active,cash,20.0,,,
OUT0095,"Bake Point, Hakmana",Hakmana,1,active,cash,20.0,,,
OUT0096,"Bakery Kade, Ginigala Junction",Ginigala Junction,4,active,cash,20.0,,,
OUT0097,"Bandula Grocery, Nagoda",Nagoda,6,active,cash,20.0,,,
OUT0098,"Banti Stores, Karandeniya",Karandeniya,3,active,cash,20.0,,,
OUT0099,"Barakath Super Grocery, Watagedara mulla",watagedara Mulla,1,active,cash,20.0,,,
OUT0100,"Baratha Food City, Pitabeddara","Deniyaya Rd, Pitabeddara",1,active,cash,20.0,,,
OUT0101,"Baratha Super Grocery, Deniyaya","Main Street, Deniyaya",1,active,cash,20.0,,,
OUT0102,"Bataduwa Stores, Wanduraba",Waihena Wanduraba,3,active,cash,20.0,,,
OUT0103,"Beliatta Kubura Stores, Beliatta Kubura",Beliatta,1,active,cash,20.0,,,
OUT0104,"Berty Super Center, Batapola","ethkadura, batapola",2,active,cash,20.0,,,
OUT0105,"Beruwala Grocery, Galwadugoda","Galwadugoda,  Galle",4,active,cash,20.0,,,
OUT0106,"Best Food, Manavila",Manavila,2,active,cash,20.0,,,
OUT0107,"Best Foods, Hiyare",Hiyare,2,active,cash,20.0,,,
OUT0108,"Binu Super Mart, Hennathota","Hennathota, Kumarakanda",7,active,cash,20.0,,,
OUT0109,"Binuri Food City, Idigahawila",Idigahawila,2,active,cash,20.0,,,
OUT0110,"Bite & Grocery, Gonapinuwla",Gonapinuwala,2,active,cash,20.0,,,
OUT0111,"Biyora Super Mart, Beliaththa",Beliaththa,1,active,cash,20.0,,,
OUT0112,"Bodaragama Food City, Udugama",Udugama,1,active,cash,20.0,,,
OUT0113,Bravo Food City Pitabeddara,,1,active,cash,20.0,,,
OUT0114,"Bulegoda Hela Osu Madhura, Imaduwa",Imaduwa,1,active,cash,20.0,,,
OUT0115,"C & P Grocery, Apegama.",Apegama  Hapugala,4,active,cash,20.0,,,
OUT0116,"C . J. Family Trade Center, Baddegama",Baddegama,2,active,cash,20.0,,,
OUT0117,"C. U. Food City, Imaduwa",Imaduwa,2,active,cash,20.0,,,
OUT0118,"C.K.Stores, Nawadagala",Nawadagala,3,active,cash,20.0,,,
OUT0119,"C.N.U. Food City, Pagirihena",Pagirihena,1,active,cash,20.0,,,
OUT0120,"C.S A Stores, Dikwella",Dikwella,1,active,cash,20.0,,,
OUT0121,Cafe D. & Bake Shop  Weligama,"No. 437, Weligama",1,active,cash,20.0,,,
OUT0122,"Cake Aveniya ,Uragasman Handiya",Uragasman Handiya,3,active,cash,20.0,,,
OUT0123,"Cargos Food City, Thangalla",Thangalla,1,active,cash,20.0,,,
OUT0124,"Ceycle Kade, Urala Pahala",Urala pahala,3,active,cash,20.0,,,
OUT0125,"Ceylon City Mart, Thanipolgaha Junction","Labuduwa Rd, Thanipolgaha, Galle",1,active,cash,20.0,,,
OUT0126,"Chamal Stores, Dellawa",Dellawa,1,active,cash,20.0,,,
OUT0127,"Chamara Grocery, Dahithagama",Dahithagama,2,active,cash,20.0,,,
OUT0128,"Chamara Grocery, Pilana",pilana,4,active,cash,20.0,,,
OUT0129,Chamara Place,,2,active,cash,20.0,,,
OUT0130,"Chamara Stores, Dadalla",Dadalla,3,active,cash,20.0,,,
OUT0131,"Chamara Stores, Hiyare",Hiyare,3,active,cash,20.0,,,
OUT0132,"Chamara Stores, Karapitiya",Karapitiya,5,active,cash,20.0,,,
OUT0133,"Chamara Stores, Pitiwella",,2,active,cash,20.0,,,
OUT0134,"Chami Food City, Hegoda","Hegoda, Rathgama",7,active,cash,20.0,,,
OUT0135,"Chami Trade Center , Berapanathara",,1,active,cash,20.0,,,
OUT0136,"Chamila Stores, Agaliya",,5,active,cash,20.0,,,
OUT0137,"Chaminda Stores, Batapola",Batapola,6,active,cash,20.0,,,
OUT0138,"Chaminda Stores, Mapalagama",Malapagama,3,active,cash,20.0,,,
OUT0139,"Chamindu Stores, Waulagala",Waulagala,5,active,cash,20.0,,,
OUT0140,"Chamith Stores, Ginthota",Ginthota,3,active,cash,20.0,,,
OUT0141,"Champa Stores, Bangama",Bangama,1,active,cash,20.0,,,
OUT0142,"Champa Stores,Dediyagala",Dediyagala,1,active,cash,20.0,,,
OUT0143,"Chanara Pharmacy, Thalgaswala",Thalgaswala,2,active,cash,20.0,,,
OUT0144,"Chanda Food City, Rathgama",Rathgama,2,active,cash,20.0,,,
OUT0145,"Chandana Food City, Neluwa","Morawaka Rd, Neluwa",1,active,cash,20.0,,,
OUT0146,"Chandani Stores, Kithulampitiya",Kithulampitiya,2,active,cash,20.0,,,
OUT0147,"Chandi Stores, Rathgama",By Route,5,active,cash,20.0,,,
OUT0148,"Chandi Stores, Wadepitiya",,5,active,cash,20.0,,,
OUT0149,"Chandima Grocery ,Kithulampitiya","\Ananda Mawatha,Kithulampitiya",4,active,cash,20.0,,,
OUT0150,"Chandima Stores, Harumalgoda",Harumalgoda,2,active,cash,20.0,,,
OUT0151,"Chandra Stores, Hirimbura",Hirimbura,4,active,cash,20.0,,,
OUT0152,"Chandrasiri Stores, Ampegama",WANIYARAWELA aMPEGAMA,5,active,cash,20.0,,,
OUT0153,"Chandrika Stores, Bulugaha Junction",Bulugaha Junction,2,active,cash,20.0,,,
OUT0154,"Chandrika Stores, Ihalakeebiya",Ihalakeebiya,5,active,cash,20.0,,,
OUT0155,"Chandu Stores, Hirimbura",Hirimbura,4,active,cash,20.0,,,
OUT0156,"Chanidu Stores, Waulagala",Waulagala,5,active,cash,20.0,,,
OUT0157,"Chanuka Stores, Thelikada",Thelikada,3,active,cash,20.0,,,
OUT0158,"Chanul Stores, Majuwana",Majuwana,5,active,cash,20.0,,,
OUT0159,"Chanulya Food Mart, Kurunduwatta","Udugama Rd, Kurunduwatta",2,active,cash,20.0,,,
OUT0160,"Charika Stores, Mapalagama",Mapalagama,3,active,cash,20.0,,,
OUT0161,"Charith Stores, Habaraduwa",Habaraduwa,3,active,cash,20.0,,,
OUT0162,"Chathurika Tea Room, Porupitiya",Porupitiya,1,active,cash,20.0,,,
OUT0163,Chavith Stores. Ginthota,Ginthota,3,active,cash,20.0,,,
OUT0164,"Chemist Pharmacy, Waligama",waligama,1,active,cash,20.0,,,
OUT0165,"Chenu Food City, Kuruduwatta",Kuruduwatta,4,active,cash,20.0,,,
OUT0166,"Chenuka Food City, Batuwangala","Batuwangala,Neluwa",1,active,cash,20.0,,,
OUT0167,"Chenulya Grocery, Kuruduwatta",Kuruduwatta,3,active,cash,20.0,,,
OUT0168,"Chilonat Stores, Pahalakeebiya",Pahalakeebiya,5,active,cash,20.0,,,
OUT0169,"Chuttege Katagasma Stores, Hulandawa",Hulandawa,1,active,cash,20.0,,,
OUT0170,City Point Super Mart. Thelijjawila,Thelijjawila,1,active,cash,20.0,,,
OUT0171,"Co - Op City , MederiPitiya",Mederipitiya,1,active,cash,20.0,,,
OUT0172,Co. Op City Habaraduwa,Habaraduwa,1,active,cash,20.0,,,
OUT0173,Co. Op City Majuwana,Majuwana,5,active,cash,20.0,,,
OUT0174,"Co. Op City, Weeraketiya",Akuressa,1,active,cash,20.0,,,
OUT0175,"Co. Op City, Weligama",Weligama,1,active,cash,20.0,,,
OUT0176,Co. Op. City Beliaththa,Beliaththa,1,active,cash,20.0,,,
OUT0177,Co. Op. City Morakatiara,Morakatiara,1,active,cash,20.0,,,
OUT0178,Co. Op. City Thellabura,Thellabura,4,active,cash,20.0,,,
OUT0179,"Co. Op. City, Balagoda",Balagoda,5,active,cash,20.0,,,
OUT0180,"Co. Op. City, Dampahala,",Dampahala,1,active,cash,20.0,,,
OUT0181,"Co. op. City, Deniyaya","Deniyaya Rd, Waralla",1,active,cash,20.0,,,
OUT0182,"Co. Op. City, Heegoda",Heegoda,1,active,cash,20.0,,,
OUT0183,"Co. Op. City, Kottawa",Kottawa,4,active,cash,20.0,,,
OUT0184,"Co. Op. City, Madagoda",Madagoda,1,active,cash,20.0,,,
OUT0185,"Co. Op. City, Mawarala",Mawarala,1,active,cash,20.0,,,
OUT0186,"Co. op. City, Morawaka","Deniyaya Rd, Akuressa",1,active,cash,20.0,,,
OUT0187,"Co. Op. City, Nawala",Nawala,4,active,cash,20.0,,,
OUT0188,"Co. Op. City, Neumgala, Kottawa","Neumgala, Kottawa",4,active,cash,20.0,,,
OUT0189,"Co. Op. City, Pasgoda.",Pasgoda,1,active,cash,20.0,,,
OUT0190,"Co. Op. City, Pitabeddara",Pitabeddara,1,active,cash,20.0,,,
OUT0191,"Co. Op. City, Thalgampala",Thalgampala,4,active,cash,20.0,,,
OUT0192,"Co. Op. City, Urubokka",Urubokka,1,active,cash,20.0,,,
OUT0193,"Co. Op. City, Weerapana",Weerapana,1,active,cash,20.0,,,
OUT0194,"Co. Op. City, Yakkalamulla",Yakkalamulla,4,active,cash,20.0,,,
OUT0195,Co.Op City Ellakanda,Ellakanda,5,active,cash,20.0,,,
OUT0196,"Co.Op City, Hiriyamalkubura",Hiriyamalkubura,4,active,cash,20.0,,,
OUT0197,"Co.Op City, Kalalgoda",Kalalgoda,4,active,cash,20.0,,,
OUT0198,"Co.Op City, Kamburupitiya",Kamburupitiya,1,active,cash,20.0,,,
OUT0199,"Co.Op City, Karagoda",Karagoda,4,active,cash,20.0,,,
OUT0200,"Co.Op City, Nabadawa",Nabadawa,4,active,cash,20.0,,,
OUT0201,"Co.Op City, Tellabura Ihala",Thellabura,4,active,cash,20.0,,,
OUT0202,"Co.op. City, Beralapanathara",Beralapanathara,1,active,cash,20.0,,,
OUT0203,"Co.Op. City, Thalalgoda",Thalalgoda,4,active,cash,20.0,,,
OUT0204,"Co.Op. Udumalagala,Yakkalamulla",yakkalamulla,4,active,cash,20.0,,,
OUT0205,"Cool Bar, Thanipolgaha",Thanipolgaha,2,active,cash,20.0,,,
OUT0206,"Court View Food Center, Balapitiya",Balapitiya,2,active,cash,20.0,,,
OUT0207,"Curd Shop, Pilana",Pilana,4,active,cash,20.0,,,
OUT0208,"D & C Stores, Ginimellagaha",Ginimellagaha,3,active,cash,20.0,,,
OUT0209,"D Mart, Nagoda",Nagoda,2,active,cash,20.0,,,
OUT0210,"D. H. Stores, Wathugedara",Wathugedara,6,active,cash,20.0,,,
OUT0211,"D. K. Mart, Palana",Palana,1,active,cash,20.0,,,
OUT0212,"D. Mart Food City, Wakwella","Galle Road, Wakwella",4,active,cash,20.0,,,
OUT0213,"D.C.Super , Mawanana",Mawanana,1,active,cash,20.0,,,
OUT0214,"D.J. Stores, Karandeniya",Karandeniya,3,active,cash,20.0,,,
OUT0215,"D.K.A. Food City, Walasgala",Walasgala,1,active,cash,20.0,,,
OUT0216,"D.K.Stores,Baddegama Dakuna",Baddegama,5,active,cash,20.0,,,
OUT0217,"D.L. Stores, Naumgala",Naumgala,3,active,cash,20.0,,,
OUT0218,"D.L.Stores, Thelikada",Thelikada,3,active,cash,20.0,,,
OUT0219,"D.M.Mart, Weligama","Palana,Weligama",1,active,cash,20.0,,,
OUT0220,"D.M.Stores, Walahanduwa",Walahanduwa,3,active,cash,20.0,,,
OUT0221,"D.N. Pharmacy,Dalkada",Dalkada,3,active,cash,20.0,,,
OUT0222,"D.P.S. Stores, Wadugoda",Wadugoda,2,active,cash,20.0,,,
OUT0223,"D.S.Stores, Walahanduwa",Walahanduwa,3,active,cash,20.0,,,
OUT0224,"D.S.Stores, Wathugedara",Wathugedara,2,active,cash,20.0,,,
OUT0225,"D.S.T.Stores, Ampegama",Ampegama,3,active,cash,20.0,,,
OUT0226,"D.T.S. Stores, Ampegama",Ampegama,3,active,cash,20.0,,,
OUT0227,"Daham Stores, Imaduwa",Imaduwa,2,active,cash,20.0,,,
OUT0228,"Dahanayaka Stores, Bogahagoda",Bogahagoda,3,active,cash,20.0,,,
OUT0229,"Damindu Food Center , Mihiripenna","Mthara road , Mihirapenna",1,active,cash,20.0,,,
OUT0230,"Damith Stores, Galle",Galle,2,active,cash,20.0,,,
OUT0231,"Dammika Food City, Kalupe,Hikkaduwa",Hikkaduwa,2,active,cash,20.0,,,
OUT0232,"Dammika Stores, Ganegoda Thelikada",ganegoda Thelikada,2,active,cash,20.0,,,
OUT0233,"Dammika Stores, Karapitiya",karapitiya,3,active,cash,20.0,,,
OUT0234,"Dammika Stores, Porogama",Porogama,6,active,cash,20.0,,,
OUT0235,"Dammika Stores, Thanipolgaha",Thanipolgaha,3,active,cash,20.0,,,
OUT0236,"Dananjaya Stores, Wanduraba",wanduraba,5,active,cash,20.0,,,
OUT0237,"Dangedara Stores, Dangedara",Dangedara,2,active,cash,20.0,,,
OUT0238,"Danuli Pharmacy, Makuluwa",Makuluwa,4,active,cash,20.0,,,
OUT0239,"Danura Stores, Batapola",Batapola,3,active,cash,20.0,,,
OUT0240,"Danushka Stores, Wanduraba",Wanduraba,2,active,cash,20.0,,,
OUT0241,"Danushka Super City, Bataatha",Bataatha,1,active,cash,20.0,,,
OUT0242,"Darmadasa Traders, Walasmulla",Walasmulla,1,active,cash,20.0,,,
OUT0243,"Darmasiri Stores, Nakiyadeniya",Nakiyadeniya,3,active,cash,20.0,,,
OUT0244,"Darmasiri Stores, Narigama",Narigama,5,active,cash,20.0,,,
OUT0245,"Darmawickrma Stores, Hiniduma",Hiniduma,3,active,cash,20.0,,,
OUT0246,"Darshana Grocery ,Navinna",Navinna,4,active,cash,20.0,,,
OUT0247,"Darshana Pharmacy, Rathgama","Dodangoda Rd, Rathgama",7,active,cash,20.0,,,
OUT0248,"Dasa  Super Market, Habaraduwa",Habaraduwa,2,active,cash,20.0,,,
OUT0249,"Dasindu Stores, Maliduwa",Maliduwa,2,active,cash,20.0,,,
OUT0250,"Dasuni Super,Labima",Labima,1,active,cash,20.0,,,
OUT0251,"Dayananda Food City, Andurathvila",Andurathvila,4,active,cash,20.0,,,
OUT0252,"Dayarathna Stores, Ambalangoda",,2,active,cash,20.0,,,
OUT0253,"Dayas Stores, Habaraduwa",Habaraduwa,2,active,cash,20.0,,,
OUT0254,"De Silva Stores, Kubalgama",Kubalgama,1,active,cash,20.0,,,
OUT0255,"Deepika Stores, Divithura",Divithura,5,active,cash,20.0,,,
OUT0256,"Deepthi Stores, Navinna Road",Navinna Road,4,active,cash,20.0,,,
OUT0257,"Depo Canteen, Udugama",Udugama,1,active,cash,20.0,,,
OUT0258,"Deshani Prime, Katanvila",,1,active,cash,20.0,,,
OUT0259,"Devinuwara Family Mart, Ebilipitiya",Ebilipitiya,1,active,cash,20.0,,,
OUT0260,"Devinuwara Grinding Mills, Embilipitiya",Embilipitiya,1,active,cash,20.0,,,
OUT0261,"Devinuwara Super, Embilipitiya",Embilipitiya,1,active,cash,20.0,,,
OUT0262,"Devon Pharmacy, Karapitiya","Mapalagama Rd, Karapitiya",7,active,cash,20.0,,,
OUT0263,"Dewmi Grocery, Pahangala",Pahangala,1,active,cash,20.0,,,
OUT0264,"Dewmi Stores, Rejjipura",Rejjipura,2,active,cash,20.0,,,
OUT0265,"Dharmasiri Stores, No.9,Dodanduwa",Dodanduwa,6,active,cash,20.0,,,
OUT0266,"Dikkubura Stores, Mawanana, Neluwa",Neluwa,1,active,cash,20.0,,,
OUT0267,"Diko Multi Treders, Morawaka",Morawaka,1,active,cash,20.0,,,
OUT0268,"Dilan Food City, Kalahe.","Akuressa Rd, Kalahe",1,active,cash,20.0,,,
OUT0269,"Dilan Food Corner, Godakanda",Godakanda,4,active,cash,20.0,,,
OUT0270,"Dilan Stores, Narigama",Narigama,5,active,cash,20.0,,,
OUT0271,"Dilanga Stores, Maliththagoda",Maliththagoda,5,active,cash,20.0,,,
OUT0272,"Dilanka Stores, Akuratiya",Akuratiya,3,active,cash,20.0,,,
OUT0273,"Dilanka Stores, Dampola",Dampola,1,active,cash,20.0,,,
OUT0274,"Dilini Grocery, Kokmaduwa",Kokmaduwa,1,active,cash,20.0,,,
OUT0275,"Dilini Stores, Narigama",Narigama,7,active,cash,20.0,,,
OUT0276,"Dilini Stores, Thiranagama",Thiranagama,2,active,cash,20.0,,,
OUT0277,"Dilip Stores, Gonapinuwala",gonapinuwala,4,active,cash,20.0,,,
OUT0278,"Dilthara Book Shop,Morawaka",Morawaka,1,active,cash,20.0,,,
OUT0279,"Dimangi Stores, Nugethota",Nugethota,5,active,cash,20.0,,,
OUT0280,"Dimuthu Stores, Yakkalamulla",Yakkalamulla,3,active,cash,20.0,,,
OUT0281,"Dinadee  Grocery, Kumarakanda",Kumarakanda,2,active,cash,20.0,,,
OUT0282,"Dinani Stores, Ampegama",Ampegama \,2,active,cash,20.0,,,
OUT0283,"Dinara Stores, Kumarakanda",Kumarakanda,6,active,cash,20.0,,,
OUT0284,"Dinesh Stores, Yatalamatta",Yatalamatta,3,active,cash,20.0,,,
OUT0285,"Dineth Grocery, Hammaliya",Hammaliya,2,active,cash,20.0,,,
OUT0286,"Dinithi Stores, Batapola",Batapola,6,active,cash,20.0,,,
OUT0287,"Dinuka Stores, Arachchikanda",Arachchikanda,5,active,cash,20.0,,,
OUT0288,"Dinuka Stores, Karapitiya",Karapitiya,2,active,cash,20.0,,,
OUT0289,"Dipo Canteen, Udugama",Udugama,1,active,cash,20.0,,,
OUT0290,"Disanayaka Stores, Ginigala",Ginigala,3,active,cash,20.0,,,
OUT0291,"Disna Stores, Panwila",,5,active,cash,20.0,,,
OUT0292,"Dovindra Family Shop, Sitinamaluwa",sitinamaluwa,1,active,cash,20.0,,,
OUT0293,"Dream Beach Villa, Ambalangoda",Ambalangoda,3,active,cash,20.0,,,
OUT0294,"Dulnitha Stores, Darmapala mawatha","Darmapala Mawatha, Krapitiya",5,active,cash,20.0,,,
OUT0295,"Duminda Hotel, Kananke",Kananke,1,active,cash,20.0,,,
OUT0296,"Duminda Stores, Opatha",opatha,1,active,cash,20.0,,,
OUT0297,"Eden Stores, Thalgaswala",Thalgaswala,2,active,cash,20.0,,,
OUT0298,"Edirisingha Stores, Mapalagama",Aluth ihla,3,active,cash,20.0,,,
OUT0299,"Ediriweera Stores, Kamburugamuwa",Kamburugamuwa,1,active,cash,20.0,,,
OUT0300,"Ediriweera Super, Kamburugamuwa",Kamburugamuwa,1,active,cash,20.0,,,
OUT0301,"Egodawatta Stores, Egodawatta,Godagama",Godagama,1,active,cash,20.0,,,
OUT0302,"Ekanayaka Stores, Gothatuwa",Gothatuwa,2,active,cash,20.0,,,
OUT0303,"Elpitiya Stores, Thalangalla",Malgalla,1,active,cash,20.0,,,
OUT0304,"Eraj Malti Shop , Bataganwila",Bataganwila,4,active,cash,20.0,,,
OUT0305,"Eranga Fruits, Yakkalamulla",Yakkalamula,1,active,cash,20.0,,,
OUT0306,"Esitha Food City, Thelijjawila","Nupe Junction, Thelijjawila.",1,active,cash,20.0,,,
OUT0307,"Fairway Food City, Walahanduwa","Udugama Rd, Walahanduwa",2,active,cash,20.0,,,
OUT0308,"Family Food Center, Katudampe",Katudampe,2,active,cash,20.0,,,
OUT0309,"Family Mart, Yatalamatta",Yatalamatta,3,active,cash,20.0,,,
OUT0310,"Food City Wage, Unawatuna","No. 157/c, Matara Rd, Unawatuna",1,active,cash,20.0,,,
OUT0311,"Food City, Pinnaduwa",Pinnaduwa,1,active,cash,20.0,,,
OUT0312,"Food Kingdom, Pilana",Pilana,4,active,cash,20.0,,,
OUT0313,"Fruit Shop, Karandeniya",Karandeniya,6,active,cash,20.0,,,
